name,code,category,price
Abobora cabotian com carne seca desfiada inteiro,349602,ESPECIAL INVERNO,39.9
Absolut,349796,Shots,24.9
Agua com Gas,349594,Aguas Bebidas nao alcoolicas,5.9
Batata frita inteiro,349597,Petiscos,49.9
Budweiser,349588,Cervejas,14.9
Caipirinha,349793,Caipirinha,23.9
Coca-Cola,349592,Refrigerantes,6.9
Ceviche inteiro,349597,Petiscos,62.6
Chapa de picanha,349600,Chapas,149.9
Corona,349588,Cervejas,18.9
Feijoada Individual,349856,Feijoada,32.9
Gin Tonica,349781,Gin Drinks e Combo,23.9
Jack Daniels,349796,Shots,24.9
Lanche de Cupim inteiro,349598,Lanches,39.5
Mojito,349593,Drinks Botequim,25.9
Parmegiana de FILE MIGNON inteiro,349853,Pratos,69.9
Pizza 3 queijos inteiro,349599,Pizzas,59.9
Red Label,349799,Garrafa,230.9
Risoto de camarao inteiro,349854,Risotos,69.9
X-Salada inteiro,349598,Lanches,29.9
